"Date","BTC_Close","BTC_High","BTC_Low","BTC_Open","BTC_Volume","BTC_PriceRange","NIFTY_Close","NIFTY_High","NIFTY_Low","NIFTY_Open","NIFTY_Volume","NIFTY_PriceRange","ETH_Close","ETH_High","ETH_Low","ETH_Open","ETH_Volume","ETH_PriceRange"
2019-10-18,569466.42,581265.85,564392.32,578588.93,1.12e+12,16873.53,11661.85,11684.7,11553.15,11580.3,853400,131.550000000001,12400.47,12726.05,12213.61,12712.39,5.4e+11,512.439999999999
2019-10-22,574400.66,589933.42,574134.71,586147.15,1.19e+12,15798.7100000001,11588.35,11714.35,11573.65,11657.15,867600,140.700000000001,12251.45,12489.6,12248.99,12436.62,4.97e+11,240.610000000001
2019-10-23,534105.28,575209.92,530882.09,574017.92,1.56e+12,44327.8300000001,11604.1,11651.6,11554.4,11596.2,664200,97.2000000000007,11542.78,12254.79,11191.71,12243.58,6.84e+11,1063.08
2019-10-24,529902.03,532686.71,526613.78,531050.39,1.15e+12,6072.92999999993,11582.6,11679.6,11534.65,11661.65,700500,144.950000000001,11467.75,11607.69,11377.19,11492.19,5.16e+11,230.5
2019-10-25,616555.27,618750.76,532500.11,533263.17,2.04e+12,86250.65,11583.9,11646.9,11490.75,11646.15,812000,156.15,12922.64,13027.78,11530.36,11546.29,7.37e+11,1497.42
2019-10-29,666867.48,673127.05,653071.39,654188.44,2.01e+12,20055.66,11786.85,11809.4,11627.35,11643.95,951700,182.049999999999,13463.88,13570.28,12899.54,12921.19,7.51e+11,670.74
2019-10-30,652544.22,668220.17,644012.81,667907.49,1.96e+12,24207.36,11844.1,11883.95,11784.45,11883.9,725200,99.5,13091.83,13546.89,12868.84,13491.92,7.43e+11,678.049999999999
2019-10-31,653078.52,666110.59,640948.66,653282.47,1.89e+12,25161.9299999999,11877.45,11945,11855.1,11890.45,1414800,89.8999999999996,13059.81,13399.45,12783.05,13118.78,6.82e+11,616.400000000001
2019-11-01,657260.6,658293.4,648101.45,652497.64,1.73e+12,10191.9500000001,11890.6,11918.3,11843.35,11886.6,855300,74.9499999999989,13056.34,13133.69,12852.28,13044.55,6.49e+11,281.41
2019-11-04,663703.06,670221.16,648110.94,651222.08,1.85e+12,22110.2200000001,11941.3,11989.15,11905.35,11928.9,823100,83.7999999999993,13140.3,13257.89,12820.62,12855.7,7.44e+11,437.269999999999
2019-11-05,663319.44,671476.68,657242.15,668323.35,1.86e+12,14234.53,11917.2,11978.95,11861.9,11974.6,632000,117.050000000001,13440.6,13579.31,13087.57,13227.96,7.12e+11,491.74
2019-11-06,663639.55,668060.38,659742.4,662220.54,1.64e+12,8317.97999999998,11966.05,12002.9,11850.25,11911.5,603400,152.65,13583.04,13721.53,13375.59,13407.2,7.2e+11,345.940000000001
2019-11-07,657996.87,665161.84,653367.1,664019.94,1.61e+12,11794.74,12012.05,12021.4,11946.85,12021.1,563000,74.5499999999993,13346.33,13622.14,13246.26,13596.81,6.45e+11,375.879999999999
2019-11-08,628461.61,661857.17,626366.94,661329.58,1.74e+12,35490.2300000001,11908.15,12034.15,11888.75,11987.15,789300,145.4,13148.37,13477.02,13029.16,13413.38,6.55e+11,447.860000000001
2019-11-11,625100.29,648189.96,621019,646451.13,1.45e+12,27170.96,11913.45,11932.65,11853.95,11879.2,549000,78.6999999999989,13239.6,13585.69,13210.81,13526.06,5.62e+11,374.880000000001
2019-11-13,632257.09,634308.49,628911.32,632527.73,1.26e+12,5397.17000000004,11840.45,11946.8,11823.2,11908.3,659000,123.599999999999,13513.21,13590.24,13346.63,13418.73,5.27e+11,243.610000000001
